연번,정류소ID,정류소명,경도,위도,위치정보(주변설명)
1,406000324,(구)중앙파출소,126.560894,33.247598,윤성현내과의원 건너편
2,406000467,(구)중앙파출소,126.560367,33.247,M-STAY제주호텔 앞
3,406001176,(구)중앙파출소,126.56089,33.247515,에이스모텔(후문) 앞
4,406001109,1100고지휴게소,126.463076,33.357816,1100고지휴게소 맞은편
5,405001361,1100고지휴게소,126.462945,33.357826,1100고지휴게소주차장 좌측끝
6,406000021,1100도로입구,126.431536,33.251451,중문주공101동 건너편
7,405001700,4.3 평화공원,126.62162,33.451192,4.3공원앞(정문)
8,405001701,4.3 평화공원,126.6219,33.451025,어린이교통공원 좌측
9,405001703,4.3 평화공원 입구,126.620093,33.453117,4.3공원주차장 앞
10,405000723,6호광장,126.548601,33.511076,침대쇼파전문매장 맞은편 좌측
11,405000724,6호광장,126.549231,33.510988,스타침대 우측
12,405001360,911의원,126.678082,33.540685,아지트게스트하우스앞
13,405001359,911의원,126.6784,33.540617,아지트게스트하우스 건너편
14,405000557,GM빌라,126.520795,33.466735,GM빌라 건너편
15,405000558,GM빌라,126.520817,33.466633,GM빌라단지 앞
16,406001251,LH 1 2단지,126.522613,33.250052,LH1단지 맞은편
17,406001252,LH 1 2단지,126.523135,33.249806,LH단지 앞
18,406000309,L마트,126.560033,33.2643,L마트앞
19,406001224,NLCS 제주,126.285163,33.296438,영어국제학교 안
20,406001223,NLCS 제주,126.28563,33.296624,영어국제학교 안
21,405001706,S중앙병원,126.471671,33.492851,GS제주월랑점 우측
22,405001707,S중앙병원,126.471821,33.492937,새한종합주방 앞
23,406000373,가동거리,126.387869,33.245371,예래동가동거리승차대 맞은편
24,406001024,가마초등학교,126.799619,33.306706,가마초등학교 맞은편
25,406001025,가마초등학교,126.800333,33.30655,순이네감귤농장 건너편
26,405001609,가물개공원,126.584656,33.524662,가물개공원승차대 맞은편
27,405001610,가물개공원,126.584825,33.524555,어린이공원 앞
28,405001652,가시나물,126.569937,33.473195,기와단독주택앞
29,405001653,가시나물,126.569754,33.473132,기와단독주택 맞은편
30,406000692,가시리,126.766867,33.36135,솔밭가든 맞은편
31,406000755,가시리,126.771517,33.353033,가시식당 앞
32,406000757,가시리,126.773899,33.350138,가시식당 우측
33,406000758,가시리,126.773913,33.350253,남광상회슈퍼건너편
34,406000857,가시리,126.773883,33.353517,비닐하우스 앞
35,406000858,가시리,126.773915,33.353809,마을안길 비닐하우스 맞은편
36,406000859,가시리,126.766617,33.361436,오뚜기편의점 앞
37,406000700,가시리,126.771467,33.352633,솔밭가든 우측
38,406000756,가시리,126.771602,33.352694,표선농협 맞은편
39,406001431,가시리체육공원,126.774914,33.352355,가시리 체육공원 좌측
40,406001430,가시리체육공원,126.774735,33.352385,가시리체육공원 맞은편
41,406001028,가흥동,126.80675,33.307117,가마교차로 지나서 바로
