구분,어리목,영실,성판악,관음사,돈내코
2014년 1월,38438,23593,63950,7769,2428
2014년 2월,26338,26009,39079,4497,1338
2014년 3월,25865,15816,29038,2476,1302
2014년 4월,36917,21065,33980,4017,997
2014년 5월,32995,30804,34533,5813,1681
2014년 6월,33041,25526,27411,5570,1938
2014년 7월,28586,14744,18647,5039,762
2014년 8월,28513,15746,28382,4463,762
2014년 9월,33885,22324,31839,6349,667
2014년 10월,41932,34724,47012,8965,876
2014년 11월,31946,26221,38082,8979,469
2014년 12월,35503,16147,26320,3748,346
2015년 1월,48351,35139,57484,8635,839
2015년 2월,36716,23697,36103,6069,629
2015년 3월,36579,20020,25834,4312,432
2015년 4월,41783,21595,52223,5118,461
2015년 5월,49974,31009,72025,6595,1011
2015년 6월,20757,22857,26309,4164,822
2015년 7월,12039,14092,21410,5099,413
2015년 8월,20464,19327,27303,7127,516
2015년 9월,28352,20374,29017,3968,472
2015년 10월,48079,44898,49699,6311,568
2015년 11월,31063,28792,29851,5612,450
2015년 12월,35555,29299,34969,2679,391
2016년 1월,41455,22958,58073,2959,579
2016년 2월,38633,29337,31659,2343,409
2016년 3월,34784,21600,24486,2222,393
2016년 4월,32786,19373,27032,2637,500
2016년 5월,38241,29043,35252,3364,832
2016년 6월,29366,22713,22059,2419,1063
2016년 7월,23013,16139,19653,3722,398
2016년 8월,27882,20808,20853,4920,573
2016년 9월,25478,21522,21227,3228,371
2016년 10월,36473,27096,34512,6401,577
2016년 11월,27229,30821,28403,5146,694
2016년 12월,25695,22778,27339,3799,578
2017년 1월,37527,26668,38091,5653,771
2017년 2월,26479,18898,40952,4876,432
2017년 3월,17566,20526,22304,4635,412
2017년 4월,18392,20918,27603,5938,540
2017년 5월,30191,34246,35759,7492,910
2017년 6월,19528,26566,22292,6862,949
2017년 7월,15123,13219,15488,7931,495
2017년 8월,16833,13862,16021,6909,567
2017년 9월,15134,17796,22478,6194,484
2017년 10월,33498,36046,37228,11709,622
2017년 11월,23444,25622,39297,7056,574
2017년 12월,32035,20515,35675,5176,433
2018년 1월,28301,21052,55637,6015,553
2018년 2월,12335,11461,16998,6212,231
2018년 3월,16864,17166,27623,4246,436
2018년 4월,19604,18928,31922,4292,451
2018년 5월,25934,29981,34772,6597,626
2018년 6월,20919,30555,21485,6880,703
2018년 7월,12131,15324,6052,12369,416
2018년 8월,15592,17959,17601,6709,406
2018년 9월,15534,19359,21581,4289,222
2018년 10월,29580,36817,38166,7095,622
2018년 11월,21422,25068,28438,7009,342
2018년 12월,18264,12957,18035,3494,185
